Proxy,cifar10_KT,cifar10_SPR,cifar10_ACC,cifar100_KT,cifar100_SPR,cifar100_ACC,ImageNet16120_KT,ImageNet16120_SPR,ImageNet16120_ACC,Avg Runtime (ms),Avg Memory (GB),Max Memory (GB)
expressivity_az,0.571,0.758,0.000,0.563,0.750,0.000,0.501,0.689,0.000,0.0,0.00,0.00
progressivity_az,0.511,0.673,0.000,0.502,0.668,0.000,0.480,0.642,0.000,0.0,0.00,0.00
trainability_az,0.347,0.503,0.000,0.347,0.507,0.000,0.404,0.572,0.000,0.0,0.00,0.00
zico,0.607,0.802,0.000,0.603,0.796,0.000,0.596,0.791,0.000,1068.0,0.46,0.82
zen,0.309,0.405,0.000,0.298,0.383,0.000,0.316,0.429,0.000,28.4,0.19,0.45
grad_norm,0.399,0.539,0.000,0.389,0.526,0.000,0.339,0.462,0.000,0.0,0.00,0.00
naswot,0.569,0.758,0.000,0.585,0.776,0.000,0.578,0.766,0.000,67.4,0.45,0.82
synflow,0.595,0.791,0.000,0.584,0.780,0.000,0.574,0.767,0.000,126.9,0.17,0.43
snip,0.497,0.664,0.000,0.491,0.653,0.000,0.436,0.585,0.000,924.1,0.43,0.76
grasp,0.356,0.512,0.000,0.351,0.504,0.000,0.313,0.451,0.000,1122.0,0.70,1.23
gradsign_rev,-0.040,-0.032,0.000,-0.033,-0.028,0.000,-0.001,0.017,0.000,4033.5,0.13,0.37
ntk_tenas,0.503,0.696,0.000,0.496,0.687,0.000,0.452,0.630,0.000,0.0,0.00,0.00
lr_tenas,0.181,0.221,0.000,0.181,0.221,0.000,0.179,0.220,0.000,0.0,0.00,0.00
