Proxy,cifar10_KT,cifar10_SPR,cifar10_ACC,cifar100_KT,cifar100_SPR,cifar100_ACC,ImageNet16120_KT,ImageNet16120_SPR,ImageNet16120_ACC,Avg Runtime (ms),Avg Memory (GB),Max Memory (GB)
expressivity_az,0.561,0.754,0.000,0.555,0.746,0.000,0.494,0.683,0.000,0.0,0.00,0.00
progressivity_az,0.503,0.674,0.000,0.491,0.665,0.000,0.471,0.639,0.000,0.0,0.00,0.00
trainability_az,0.303,0.447,0.000,0.314,0.461,0.000,0.376,0.534,0.000,0.0,0.00,0.00
zico,0.573,0.768,0.000,0.567,0.760,0.000,0.558,0.752,0.000,1044.4,0.46,0.79
zen,0.257,0.330,0.000,0.240,0.303,0.000,0.260,0.350,0.000,28.5,0.20,0.50
grad_norm,0.358,0.486,0.000,0.349,0.473,0.000,0.302,0.407,0.000,0.0,0.00,0.00
naswot,0.526,0.710,0.000,0.546,0.734,0.000,0.544,0.729,0.000,67.7,0.46,0.78
synflow,0.559,0.758,0.000,0.547,0.742,0.000,0.533,0.725,0.000,129.8,0.17,0.46
snip,0.451,0.608,0.000,0.444,0.597,0.000,0.393,0.524,0.000,915.7,0.43,0.76
grasp,0.337,0.482,0.000,0.327,0.466,0.000,0.299,0.424,0.000,1092.9,0.70,1.22
gradsign_rev,-0.083,-0.108,0.000,-0.079,-0.109,0.000,-0.048,-0.060,0.000,4014.2,0.13,0.32
ntk_tenas,0.477,0.665,0.000,0.473,0.659,0.000,0.430,0.603,0.000,0.0,0.00,0.00
lr_tenas,0.133,0.162,0.000,0.133,0.162,0.000,0.132,0.162,0.000,0.0,0.00,0.00
